model_type,placement_type,num_occluders,occluder_size,n,mean,sd,skew,kurtosis,shapiro_W,shapiro_p,normal_at_0p05
resnet50_geirhos_tl,targeted,3,32,40,3.3505010329186917,0.9686179671960581,0.05720472973832017,0.2169981170026829,0.9946652561666512,0.9994727708700792,True
resnet50_geirhos_tl,targeted,3,64,40,4.879676254186779,1.7321349132519146,0.1733425715129707,-1.0004392325619438,0.9657090422177862,0.2610796328149688,True
resnet50_geirhos_tl,targeted,3,8,40,1.0002458035945891,0.3538096662053444,0.1073833553285918,0.11420671471947008,0.9917434098047826,0.9907740371413672,True
resnet50_geirhos_tl,targeted,4,16,40,2.195482356660068,0.8091398797855855,0.8972587883674229,1.859817045790174,0.9492716853790398,0.07158019277369547,True
resnet50_geirhos_tl,targeted,4,32,40,3.911628949642181,1.0942875900878801,-0.1073370208305618,-0.20301174309628012,0.9914562763575185,0.9888283812138522,True
resnet50_geirhos_tl,targeted,4,64,40,5.024817198328674,1.9297106992429525,0.34892844448708543,-0.5254591710647354,0.9731315493150431,0.4495937702003238,True
resnet50_geirhos_tl,targeted,4,8,40,1.132820475101471,0.42950208780992133,0.7856316669654835,1.2775965240802103,0.9562923548124481,0.12493944515281485,True
resnet50_geirhos_tl,targeted,5,16,40,2.443911877647042,0.8621989758209428,0.8213623661027293,1.7157592902073384,0.9581784561272417,0.14507013779654188,True
resnet50_geirhos_tl,targeted,5,32,40,4.32643744200468,1.235761107826637,0.9612307198177334,2.4394586653509993,0.9373696427867125,0.028217194978591542,False
resnet50_geirhos_tl,targeted,5,64,40,5.180200434289873,1.9416672055271742,0.34565292994954966,-0.23672462345844636,0.9767904808785046,0.5719657870973722,True
resnet50_geirhos_tl,targeted,5,8,40,1.268305891752243,0.540674416235955,0.1143423344754534,0.7791430209682169,0.9619584493227258,0.19532056298013367,True
resnet50_geirhos_tl,targeted,6,16,40,2.6078638583421707,0.9177148489754441,0.402597968473657,0.4655500939667605,0.9771344174733583,0.5842583856452357,True
resnet50_geirhos_tl,targeted,6,32,40,4.487589058279991,1.2737284999732663,0.8652147174696988,0.6950091180591165,0.9438929370803232,0.046849261277932826,False
resnet50_geirhos_tl,targeted,6,64,40,5.347528157848865,1.846829332646246,0.45658281956897223,-0.03484186103262665,0.9674162062039965,0.29717117017544353,True
resnet50_geirhos_tl,targeted,6,8,40,1.37910076379776,0.5609585247014639,0.3308746081268152,-0.27401763536848245,0.9724029904720198,0.42740246067977916,True
resnet50_geirhos_tl,targeted,7,16,40,2.7556465402245522,0.8702109843509285,-0.010413949691982031,-0.3305441851875468,0.9840581238974374,0.8344336355937838,True
resnet50_geirhos_tl,targeted,7,32,40,4.765041535720229,1.3934917383811283,0.7485426906493033,0.22315046552767948,0.9403379337903517,0.03549917942060205,False
resnet50_geirhos_tl,targeted,7,64,40,5.269668650627136,1.8758460583412995,0.3843300982317588,-0.17500141866382846,0.9789442731539563,0.6503745814208897,True
resnet50_geirhos_tl,targeted,7,8,40,1.4624388724565507,0.6570789666913912,0.45869684922838844,-0.3212052131616039,0.9628315160554468,0.20908652542861328,True
resnet50_geirhos_tl,targeted,8,16,40,2.8866285011172295,1.0921191757971778,0.5403363885208157,0.6219500241344456,0.9679651057793307,0.30966464171846453,True
resnet50_geirhos_tl,targeted,8,32,40,4.898407881706953,1.4962800392173146,0.8992928851479374,0.6759265778704884,0.939295091927704,0.03274094579242796,False
resnet50_geirhos_tl,targeted,8,64,40,5.241760953888297,1.8566432934211743,0.30825828704406105,-0.06716114814473251,0.9788680190735053,0.6475537458319668,True
resnet50_geirhos_tl,targeted,8,8,40,1.5077852457761765,0.6572086545535388,0.3688471132489192,0.0419237194889468,0.9838249068416753,0.826717155634014,True
resnet50_tl_20250829,random,1,16,40,0.42522850036621096,0.18762067122499615,-1.4231563697788514,4.106645205509234,0.8652736178941136,0.00021605422725421523,False
resnet50_tl_20250829,random,1,32,40,1.4786779403686523,0.8356121591171276,0.7676392425949106,-0.3260564937227435,0.9292808061495135,0.015259618159386633,False
resnet50_tl_20250829,random,1,64,40,4.809278297424316,2.874328538207106,0.9056489991586254,0.7413179010743254,0.9373307842782407,0.02813289421209732,False
resnet50_tl_20250829,random,1,8,40,0.13780155181884765,0.10955405540638465,-1.128548821577629,2.587961875792188,0.9005963991547561,0.0019897298181438382,False
resnet50_tl_20250829,random,2,16,40,0.6987577438354492,0.45911315084279597,0.564420914712004,0.17461166895716573,0.9653349985813627,0.2537129067875761,True
resnet50_tl_20250829,random,2,32,40,4.464948272705078,1.0143519830928471,-1.006711385926055,0.003664620755996051,0.879441105583485,0.0005084003453872804,False
resnet50_tl_20250829,random,2,64,40,15.805550003051758,3.2550256538326074,-0.5612925884180198,0.8383202198550137,0.9729223152495485,0.44314025261597195,True
resnet50_tl_20250829,random,2,8,40,0.5070493698120118,0.2556698496073723,0.4971094787633736,0.26519700599636264,0.9645699064467643,0.2392264164781373,True
resnet50_tl_20250829,random,3,16,40,2.3167261123657226,0.7967535237652157,-0.21030107108076992,-0.8274727698837894,0.960210723634141,0.17029928649978965,True
resnet50_tl_20250829,random,3,32,40,5.584616661071777,2.223458453016338,1.149925627420179,1.0848241006023773,0.9034486443933104,0.0024122927725439267,False
resnet50_tl_20250829,random,3,64,40,23.734015655517577,4.222352483513344,-0.31804040238901804,-0.8092439755564178,0.941583375428293,0.039111331812368505,False
resnet50_tl_20250829,random,3,8,40,0.5616802215576172,0.264532388583541,0.013462454690329258,0.4685477823583293,0.9831269620746822,0.802995914432729,True
