effect_name,level_1,level_2,n_pairs,mean_diff,sd_diff,se_diff,t_value,p_value,cohens_dz,model_type,occluder_size,num_occluders,p_value_holm,reject_holm
placement_within_model,random,targeted,40,-14.090980911254883,4.052091909565475,0.6406919861283965,-21.993377810770703,1.378185193568534e-23,-3.477458366132155,resnet50_tl_20250829,32,8,5.926196332344696e-22,True
placement_within_model,random,targeted,40,-9.468534088134765,3.3076716791017646,0.5229888128997571,-18.10465894219735,1.4017298732665666e-20,-2.862597925893918,resnet50_tl_20250829,64,1,5.326573518412953e-19,True
placement_within_model,random,targeted,40,-11.089688110351563,4.0666784242001635,0.6429983165968463,-17.246838481701175,7.580913699089727e-20,-2.726964601960798,resnet50_tl_20250829,64,2,2.6533197946814044e-18,True
placement_within_model,random,targeted,40,-14.56362018585205,3.9335609593122745,0.6219505973271852,-23.416040194251426,1.4145765244098046e-24,-3.7024010397943052,resnet50_tl_20250829,64,3,7.214340274490003e-23,True
placement_within_model,random,targeted,40,-14.309358215332031,5.367348212136437,0.8486522672791873,-16.861273771421597,1.6537820509529459e-19,-2.6660014684674773,resnet50_tl_20250829,64,4,5.126724357954132e-18,True
placement_within_model,random,targeted,40,-16.535565280914305,4.4909280961464395,0.7100780795933198,-23.286967667534043,1.7304118473931383e-24,-3.681992881405313,resnet50_tl_20250829,64,5,8.652059236965692e-23,True
placement_within_model,random,targeted,40,-17.100410556793214,7.082491454968956,1.1198402253190884,-15.270402125375167,4.801241965448812e-18,-2.4144625751430815,resnet50_tl_20250829,64,6,1.3443477503256674e-16,True
placement_within_model,random,targeted,40,-23.357188606262206,8.122340457201688,1.2842547888045357,-18.18734787666591,1.1952466498005895e-20,-2.8756721944045713,resnet50_tl_20250829,64,7,4.661461934222299e-19,True
placement_within_model,random,targeted,40,-2.9726877212524414,6.6778074236303,1.0558540617326329,-2.8154342811110915,0.007599648862908978,-0.44515924654149125,resnet50_tl_20250829,64,8,0.008013310078901938,True
placement_within_model,random,targeted,40,-0.9143627166748047,0.2518937733606931,0.039827902611701826,-22.957842535402705,2.9056854200357753e-24,-3.629953628768368,resnet50_tl_20250829,8,1,1.3656721474168144e-22,True
