effect_name,level_1,level_2,n_pairs,mean_diff,sd_diff,se_diff,t_value,p_value,cohens_dz,placement_type,occluder_size,num_occluders,p_value_holm,reject_holm
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-53.94851536694914,4.5730178227089695,0.7230576050152208,-74.6116422713146,1.0770745854517909e-43,-11.797136477152643,targeted,64,5,6.570154971255925e-42,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-62.54301682887599,5.202968654666404,0.8226615771603948,-76.02520716326339,5.205640516768126e-44,-12.02064071110304,targeted,64,6,3.227497120396238e-42,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-70.81487305164337,5.76336902537894,0.9112686558131112,-77.71020390079843,2.2261423985222185e-44,-12.287062088131224,targeted,64,7,1.4024697110689977e-42,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-78.66226002313196,6.009272614972443,0.9501494272094487,-82.78935688480064,1.9120489123705465e-45,-13.090146688825614,targeted,64,8,1.2237113039171498e-43,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-0.4955656170845032,0.2830964350371214,0.04476147660955989,-11.071252662354379,1.3270528106892737e-13,-1.7505187482121471,targeted,8,1,1.459758091758201e-12,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-1.1433823168277741,0.475011118641288,0.07510585244054682,-15.223611471993694,5.321640423002804e-18,-2.4070643232484357,targeted,8,2,9.046788719104767e-17,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-1.6908251345157623,0.6006353383402483,0.09496878561705216,-17.804009217657782,2.5143285068718933e-20,-2.815061030521555,targeted,8,3,5.280089864430976e-19,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-2.285873067378998,0.6819037353758742,0.10781844743822486,-21.201131361947137,5.174719397522925e-23,-3.3521932038090316,targeted,8,4,1.3971742373311898e-21,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-2.7575598537921904,0.8320440344990676,0.13155771312863848,-20.96083755344561,7.793890089808553e-23,-3.3141994166839743,targeted,8,5,1.948472522452138e-21,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-3.2314379096031187,0.9763429564869474,0.15437337599807108,-20.932611525212067,8.180125579392102e-23,-3.3097364897580634,targeted,8,6,1.9632301390541045e-21,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-3.708788773417473,1.0882029618335884,0.172059995796771,-21.555206695448927,2.850210029983091e-23,-3.408177429666501,targeted,8,7,7.980588083952655e-22,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-4.200695016980172,1.26445053619188,0.19992718414937555,-21.01112479952513,7.151375994266357e-23,-3.3221505284274064,targeted,8,8,1.8593577585092526e-21,True
