contrast_family,model_type,num_occluders,occluder_size,level_1,level_2,estimate_diff,std_error,z_value,p_value,p_value_holm,reject_holm
placement_within_model,resnet50_geirhos_tl,6,8,random,targeted,-1.3264045978231924,0.2399966056825734,-5.526763989227141,3.261912895347052e-08,4.892869343020578e-07,True
placement_within_model,resnet50_geirhos_tl,6,16,random,targeted,-2.339394970989937,0.2399966056825749,-9.747616906232729,0.0,0.0,True
placement_within_model,resnet50_geirhos_tl,6,32,random,targeted,-3.0584615380636233,0.23999660568257483,-12.743769976933827,0.0,0.0,True
placement_within_model,resnet50_geirhos_tl,6,64,random,targeted,-1.10108602715184,0.23999660568257475,-4.587923333416485,4.476769734695907e-06,4.029092761226316e-05,True
placement_within_model,resnet50_geirhos_tl,7,8,random,targeted,-1.450848566598993,0.2971826068262374,-4.882010364244849,1.0500973555149784e-06,1.0500973555149784e-05,True
placement_within_model,resnet50_geirhos_tl,7,16,random,targeted,-2.5530906512357943,0.29718260682624237,-8.590982758047288,0.0,0.0,True
placement_within_model,resnet50_geirhos_tl,7,32,random,targeted,-3.230891932258829,0.2971826068262425,-10.871739657859168,0.0,0.0,True
placement_within_model,resnet50_geirhos_tl,7,64,random,targeted,-0.8839719845213752,0.29718260682624237,-2.9745078083867087,0.002934589869939108,0.013183166791337353,True
placement_within_model,resnet50_geirhos_tl,8,8,random,targeted,-1.5752925353747935,0.36660087069094593,-4.2970234424315,1.7310689442995297e-05,0.00013848551554396238,True
placement_within_model,resnet50_geirhos_tl,8,16,random,targeted,-2.7667863314816517,0.3666008706909552,-7.547135188923363,4.440892098500626e-14,1.0658141036401503e-12,True
placement_within_model,resnet50_geirhos_tl,8,32,random,targeted,-3.403322326454034,0.366600870690955,-9.283454019188731,0.0,0.0,True
placement_within_model,resnet50_geirhos_tl,8,64,random,targeted,-0.6668579418909104,0.36660087069095504,-1.8190298911021203,0.06890686989993378,0.10950160527218467,False
placement_within_model,resnet50_tl_20250829,1,8,random,targeted,-1.102443361282427,0.3666008706909463,-3.0072033358911856,0.0026366333582674706,0.013183166791337353,True
placement_within_model,resnet50_tl_20250829,1,16,random,targeted,-1.8710981686910073,0.36660087069095554,-5.103910869508934,3.3270501997861857e-07,3.992460239743423e-06,True
