case_id,model_type,placement_type,num_occluders,occluder_size,occluder_id,x0,y0,width,height,size
ns_cow_202,resnet50_geirhos_tl,random,6,32,5,32,144,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,6,32,6,144,80,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,7,32,1,192,16,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,7,32,2,96,112,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,7,32,3,176,64,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,7,32,4,144,192,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,7,32,5,112,80,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,7,32,6,160,128,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,7,32,7,96,160,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,8,32,1,112,176,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,8,32,2,32,112,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,8,32,3,48,160,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,8,32,4,96,144,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,8,32,5,16,144,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,8,32,6,176,192,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,8,32,7,144,48,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,8,32,8,160,128,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,1,64,1,64,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,2,64,1,64,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,2,64,2,96,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,3,64,1,64,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,3,64,2,96,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,3,64,3,32,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,4,64,1,64,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,4,64,2,96,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,4,64,3,32,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,4,64,4,0,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,5,64,1,64,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,5,64,2,96,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,5,64,3,32,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,5,64,4,0,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,5,64,5,128,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,6,64,1,64,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,6,64,2,96,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,6,64,3,32,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,6,64,4,0,32,64,64,64
