case_id,model_type,occluder_size,stride,placement_type,num_occluders,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,baseline_pred_class,baseline_pred_class_name,post_occlusion_pred_class,post_occlusion_pred_class_name,baseline_confidence,post_occlusion_confidence
s_bird_17,shape_biased,32,1,targeted,1,5.135880470275879,3.7683427333831787,1.3675377368927002,5,bird,18,dolphin,0.27608194947242737,0.17373594641685486
s_bird_17,shape_biased,32,1,targeted,2,5.135880470275879,4.202127456665039,0.9337530136108398,5,bird,5,bird,0.27608194947242737,0.201775923371315
s_bird_17,shape_biased,32,1,targeted,3,5.135880470275879,3.496497631072998,1.6393828392028809,5,bird,1,bat,0.27608194947242737,0.24318405985832214
s_bird_17,shape_biased,32,1,targeted,4,5.135880470275879,2.7313859462738037,2.404494524002075,5,bird,1,bat,0.27608194947242737,0.3596860468387604
s_bird_17,shape_biased,32,1,targeted,5,5.135880470275879,2.5644760131835938,2.571404457092285,5,bird,1,bat,0.27608194947242737,0.291064590215683
s_bird_17,shape_biased,32,1,targeted,6,5.135880470275879,2.5152385234832764,2.6206419467926025,5,bird,1,bat,0.27608194947242737,0.4570227265357971
s_bird_17,shape_biased,32,1,targeted,7,5.135880470275879,2.4243807792663574,2.7114996910095215,5,bird,1,bat,0.27608194947242737,0.5124067068099976
s_bird_17,shape_biased,32,1,targeted,8,5.135880470275879,2.500751495361328,2.635128974914551,5,bird,1,bat,0.27608194947242737,0.35869863629341125
s_bird_17,shape_biased,32,1,random,1,5.135880470275879,5.037790298461914,0.09809017181396484,5,bird,18,dolphin,0.27608194947242737,0.25138455629348755
s_bird_17,shape_biased,32,1,random,2,5.135880470275879,6.111044883728027,-0.9751644134521484,5,bird,20,eagle,0.27608194947242737,0.35859179496765137
s_bird_17,shape_biased,32,1,random,3,5.135880470275879,4.692361831665039,0.44351863861083984,5,bird,5,bird,0.27608194947242737,0.21018315851688385
s_bird_17,shape_biased,32,1,random,4,5.135880470275879,3.8997795581817627,1.2361009120941162,5,bird,40,seal,0.27608194947242737,0.17865945398807526
s_bird_17,shape_biased,32,1,random,5,5.135880470275879,3.76564359664917,1.370236873626709,5,bird,1,bat,0.27608194947242737,0.47295746207237244
s_bird_17,shape_biased,32,1,random,6,5.135880470275879,4.764012813568115,0.37186765670776367,5,bird,5,bird,0.27608194947242737,0.23627182841300964
s_bird_17,shape_biased,32,1,random,7,5.135880470275879,5.280016899108887,-0.1441364288330078,5,bird,5,bird,0.27608194947242737,0.2491413801908493
s_bird_17,shape_biased,32,1,random,8,5.135880470275879,4.8581037521362305,0.27777671813964844,5,bird,5,bird,0.27608194947242737,0.25469619035720825
s_bird_17,shape_biased,64,1,targeted,1,5.135880470275879,2.660324811935425,2.475555658340454,5,bird,40,seal,0.27608194947242737,0.26392194628715515
s_bird_17,shape_biased,64,1,targeted,2,5.135880470275879,2.2270610332489014,2.9088194370269775,5,bird,1,bat,0.27608194947242737,0.4522850513458252
s_bird_17,shape_biased,64,1,targeted,3,5.135880470275879,1.7237682342529297,3.412112236022949,5,bird,1,bat,0.27608194947242737,0.17744000256061554
s_bird_17,shape_biased,64,1,targeted,4,5.135880470275879,1.1015305519104004,4.0343499183654785,5,bird,1,bat,0.27608194947242737,0.1811835765838623
s_bird_17,shape_biased,64,1,targeted,5,5.135880470275879,1.005733847618103,4.130146622657776,5,bird,1,bat,0.27608194947242737,0.18309496343135834
s_bird_17,shape_biased,64,1,targeted,6,5.135880470275879,1.0661265850067139,4.069753885269165,5,bird,1,bat,0.27608194947242737,0.1767127364873886
s_bird_17,shape_biased,64,1,targeted,7,5.135880470275879,1.1295340061187744,4.0063464641571045,5,bird,1,bat,0.27608194947242737,0.15130837261676788
s_bird_17,shape_biased,64,1,targeted,8,5.135880470275879,0.9294198155403137,4.206460654735565,5,bird,1,bat,0.27608194947242737,0.10479229688644409
s_bird_17,shape_biased,64,1,random,1,5.135880470275879,4.8528361320495605,0.28304433822631836,5,bird,5,bird,0.27608194947242737,0.23338629305362701
s_bird_17,shape_biased,64,1,random,2,5.135880470275879,2.637295722961426,2.498584747314453,5,bird,1,bat,0.27608194947242737,0.7058223485946655
s_bird_17,shape_biased,64,1,random,3,5.135880470275879,4.939501762390137,0.1963787078857422,5,bird,28,hawk,0.27608194947242737,0.2105991244316101
