case_id,model_type,occluder_size,stride,y0,x0,y_center,x_center,baseline_pred_class,baseline_pred_class_name,post_occlusion_pred_class,post_occlusion_pred_class_name,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,baseline_confidence,post_occlusion_confidence,prediction_changed,baseline_class_still_top1
s_bird_17,shape_biased,8,4,4,176,8.0,180.0,5,bird,18,dolphin,5.135880470275879,4.96571683883667,0.17016363143920898,0.27608194947242737,0.28581175208091736,1,0
s_bird_17,shape_biased,8,4,4,180,8.0,184.0,5,bird,18,dolphin,5.135880470275879,4.973628044128418,0.16225242614746094,0.27608194947242737,0.282524973154068,1,0
s_bird_17,shape_biased,8,4,4,184,8.0,188.0,5,bird,18,dolphin,5.135880470275879,4.9877471923828125,0.1481332778930664,0.27608194947242737,0.2844948470592499,1,0
s_bird_17,shape_biased,8,4,4,188,8.0,192.0,5,bird,18,dolphin,5.135880470275879,4.964720249176025,0.17116022109985352,0.27608194947242737,0.28756824135780334,1,0
s_bird_17,shape_biased,8,4,4,192,8.0,196.0,5,bird,18,dolphin,5.135880470275879,4.944417953491211,0.19146251678466797,0.27608194947242737,0.28159984946250916,1,0
s_bird_17,shape_biased,8,4,4,196,8.0,200.0,5,bird,18,dolphin,5.135880470275879,4.957930088043213,0.17795038223266602,0.27608194947242737,0.27422773838043213,1,0
s_bird_17,shape_biased,8,4,4,200,8.0,204.0,5,bird,18,dolphin,5.135880470275879,4.97248649597168,0.16339397430419922,0.27608194947242737,0.2777252793312073,1,0
s_bird_17,shape_biased,8,4,4,204,8.0,208.0,5,bird,18,dolphin,5.135880470275879,4.957261085510254,0.178619384765625,0.27608194947242737,0.27887359261512756,1,0
s_bird_17,shape_biased,8,4,4,208,8.0,212.0,5,bird,18,dolphin,5.135880470275879,4.92046594619751,0.21541452407836914,0.27608194947242737,0.2782660126686096,1,0
s_bird_17,shape_biased,8,4,4,212,8.0,216.0,5,bird,18,dolphin,5.135880470275879,4.936600208282471,0.1992802619934082,0.27608194947242737,0.27599141001701355,1,0
s_bird_17,shape_biased,8,4,4,216,8.0,220.0,5,bird,18,dolphin,5.135880470275879,4.941296577453613,0.19458389282226562,0.27608194947242737,0.26358699798583984,1,0
s_bird_17,shape_biased,8,4,8,0,12.0,4.0,5,bird,18,dolphin,5.135880470275879,4.778022289276123,0.35785818099975586,0.27608194947242737,0.25134390592575073,1,0
s_bird_17,shape_biased,8,4,8,4,12.0,8.0,5,bird,18,dolphin,5.135880470275879,4.736289978027344,0.39959049224853516,0.27608194947242737,0.26335734128952026,1,0
s_bird_17,shape_biased,8,4,8,8,12.0,12.0,5,bird,18,dolphin,5.135880470275879,4.636893272399902,0.49898719787597656,0.27608194947242737,0.28324294090270996,1,0
s_bird_17,shape_biased,8,4,8,12,12.0,16.0,5,bird,18,dolphin,5.135880470275879,4.640405178070068,0.49547529220581055,0.27608194947242737,0.2944887578487396,1,0
s_bird_17,shape_biased,8,4,8,16,12.0,20.0,5,bird,18,dolphin,5.135880470275879,4.661410808563232,0.4744696617126465,0.27608194947242737,0.3002062141895294,1,0
s_bird_17,shape_biased,8,4,8,20,12.0,24.0,5,bird,18,dolphin,5.135880470275879,4.677702903747559,0.4581775665283203,0.27608194947242737,0.3086557686328888,1,0
s_bird_17,shape_biased,8,4,8,24,12.0,28.0,5,bird,18,dolphin,5.135880470275879,4.702384948730469,0.43349552154541016,0.27608194947242737,0.31909888982772827,1,0
s_bird_17,shape_biased,8,4,8,28,12.0,32.0,5,bird,18,dolphin,5.135880470275879,4.722225189208984,0.41365528106689453,0.27608194947242737,0.3142210841178894,1,0
s_bird_17,shape_biased,8,4,8,32,12.0,36.0,5,bird,18,dolphin,5.135880470275879,4.717087268829346,0.4187932014465332,0.27608194947242737,0.3162045478820801,1,0
s_bird_17,shape_biased,8,4,8,36,12.0,40.0,5,bird,18,dolphin,5.135880470275879,4.766680717468262,0.3691997528076172,0.27608194947242737,0.3124610185623169,1,0
s_bird_17,shape_biased,8,4,8,40,12.0,44.0,5,bird,18,dolphin,5.135880470275879,4.752325057983398,0.38355541229248047,0.27608194947242737,0.32520514726638794,1,0
s_bird_17,shape_biased,8,4,8,44,12.0,48.0,5,bird,18,dolphin,5.135880470275879,4.765799522399902,0.37008094787597656,0.27608194947242737,0.32153549790382385,1,0
s_bird_17,shape_biased,8,4,8,48,12.0,52.0,5,bird,18,dolphin,5.135880470275879,4.761838912963867,0.3740415573120117,0.27608194947242737,0.3257759213447571,1,0
s_bird_17,shape_biased,8,4,8,52,12.0,56.0,5,bird,18,dolphin,5.135880470275879,4.792932510375977,0.34294795989990234,0.27608194947242737,0.3207569122314453,1,0
s_bird_17,shape_biased,8,4,8,56,12.0,60.0,5,bird,18,dolphin,5.135880470275879,4.860621452331543,0.27525901794433594,0.27608194947242737,0.3246455192565918,1,0
s_bird_17,shape_biased,8,4,8,60,12.0,64.0,5,bird,18,dolphin,5.135880470275879,4.825858116149902,0.31002235412597656,0.27608194947242737,0.31455594301223755,1,0
s_bird_17,shape_biased,8,4,8,64,12.0,68.0,5,bird,18,dolphin,5.135880470275879,4.836856365203857,0.2990241050720215,0.27608194947242737,0.31800317764282227,1,0
s_bird_17,shape_biased,8,4,8,68,12.0,72.0,5,bird,18,dolphin,5.135880470275879,4.860962867736816,0.2749176025390625,0.27608194947242737,0.30897486209869385,1,0
s_bird_17,shape_biased,8,4,8,72,12.0,76.0,5,bird,18,dolphin,5.135880470275879,4.835484027862549,0.3003964424133301,0.27608194947242737,0.30857276916503906,1,0
s_bird_17,shape_biased,8,4,8,76,12.0,80.0,5,bird,18,dolphin,5.135880470275879,4.8968505859375,0.2390298843383789,0.27608194947242737,0.2963463366031647,1,0
s_bird_17,shape_biased,8,4,8,80,12.0,84.0,5,bird,18,dolphin,5.135880470275879,4.94488000869751,0.19100046157836914,0.27608194947242737,0.29060786962509155,1,0
s_bird_17,shape_biased,8,4,8,84,12.0,88.0,5,bird,18,dolphin,5.135880470275879,4.981281280517578,0.15459918975830078,0.27608194947242737,0.27639052271842957,1,0
