case_id,model_type,occluder_size,stride,x0,y0,x_center,y_center,x0_norm,y0_norm,x1_norm,y1_norm,x_center_norm,y_center_norm,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,intersects_shape,source_file
ns_dog_105,resnet50_geirhos_tl,16,8,80,8,88.0,16.0,0.35714285714285715,0.03571428571428571,0.42857142857142855,0.10714285714285714,0.39285714285714285,0.07142857142857142,4.399888515472412,2.6813082695007324,1.7185802459716797,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_105/resnet50_geirhos_tl/position_scores_size_16.csv
ns_dog_105,resnet50_geirhos_tl,32,16,80,0,96.0,16.0,0.35714285714285715,0.0,0.5,0.14285714285714285,0.42857142857142855,0.07142857142857142,4.399888515472412,2.576147079467773,1.823741436004639,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_105/resnet50_geirhos_tl/position_scores_size_32.csv
ns_dog_105,resnet50_geirhos_tl,64,32,32,0,64.0,32.0,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,4.399888515472412,1.372706174850464,3.027182340621948,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_105/resnet50_geirhos_tl/position_scores_size_64.csv
ns_dog_105,resnet50_tl_20250829,8,4,48,52,52.0,56.0,0.21428571428571427,0.23214285714285715,0.25,0.26785714285714285,0.23214285714285715,0.25,141.09365844726562,140.4327392578125,0.660919189453125,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_105/resnet50_tl_20250829/position_scores_size_8.csv
ns_dog_105,resnet50_tl_20250829,16,8,32,144,40.0,152.0,0.14285714285714285,0.6428571428571429,0.21428571428571427,0.7142857142857143,0.17857142857142858,0.6785714285714286,141.09365844726562,139.70924377441406,1.3844146728515625,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_105/resnet50_tl_20250829/position_scores_size_16.csv
ns_dog_105,resnet50_tl_20250829,32,16,128,16,144.0,32.0,0.5714285714285714,0.07142857142857142,0.7142857142857143,0.21428571428571427,0.6428571428571429,0.14285714285714285,141.09365844726562,135.7524871826172,5.3411712646484375,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_105/resnet50_tl_20250829/position_scores_size_32.csv
ns_dog_105,resnet50_tl_20250829,64,32,128,0,160.0,32.0,0.5714285714285714,0.0,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.14285714285714285,141.09365844726562,129.68270874023438,11.41094970703125,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_105/resnet50_tl_20250829/position_scores_size_64.csv
ns_dog_214,resnet50_geirhos_tl,8,4,28,144,32.0,148.0,0.125,0.6428571428571429,0.16071428571428573,0.6785714285714286,0.14285714285714285,0.6607142857142857,6.404999732971191,6.216056346893311,0.1889433860778808,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_214/resnet50_geirhos_tl/position_scores_size_8.csv
ns_dog_214,resnet50_geirhos_tl,16,8,200,96,208.0,104.0,0.8928571428571429,0.42857142857142855,0.9642857142857143,0.5,0.9285714285714286,0.4642857142857143,6.404999732971191,6.06004524230957,0.3449544906616211,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_214/resnet50_geirhos_tl/position_scores_size_16.csv
ns_dog_214,resnet50_geirhos_tl,32,16,80,32,96.0,48.0,0.35714285714285715,0.14285714285714285,0.5,0.2857142857142857,0.42857142857142855,0.21428571428571427,6.404999732971191,5.754087448120117,0.6509122848510742,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_214/resnet50_geirhos_tl/position_scores_size_32.csv
ns_dog_214,resnet50_geirhos_tl,64,32,64,0,96.0,32.0,0.2857142857142857,0.0,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.14285714285714285,6.404999732971191,2.4187159538269043,3.986283779144287,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_214/resnet50_geirhos_tl/position_scores_size_64.csv
ns_dog_214,resnet50_tl_20250829,8,4,96,172,100.0,176.0,0.42857142857142855,0.7678571428571429,0.4642857142857143,0.8035714285714286,0.44642857142857145,0.7857142857142857,134.8970947265625,134.06101989746094,0.8360748291015625,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_214/resnet50_tl_20250829/position_scores_size_8.csv
