case_id,model_type,occluder_size,case_base_id,n_clusters,debiased_entropy,max_debiased_mass_prop,top2_debiased_mass_prop,effective_n_hypotheses,sum_mass_debias_nonnegative,mean_cluster_n_shapes
ns_elephant_350,texture_biased,8,ns_elephant_350,10.0,2.3025848753661293,0.10009684273416777,0.20017554940588428,9.999997823721072,3586.0145668185482,25.0
ns_elephant_350,texture_biased,16,ns_elephant_350,10.0,2.277925047327394,0.1485368720636777,0.28831856068190737,9.75641529223442,2071.457723127699,25.0
ns_elephant_350,texture_biased,32,ns_elephant_350,10.0,2.2892174331085426,0.15052095524979012,0.2505841108491336,9.867212904860013,1863.457489738668,25.0
ns_elephant_350,texture_biased,64,ns_elephant_350,10.0,2.255812657409836,0.15723604459421328,0.313318554053148,9.543045386374674,1757.9502657141684,25.0
ns_elephant_47,shape_biased,8,ns_elephant_47,10.0,2.2943531953926715,0.11529402904885265,0.2304184065527351,9.918018916874624,1976.6372457784591,25.0
ns_elephant_47,shape_biased,16,ns_elephant_47,10.0,2.1660453409370404,0.23228400129197746,0.3867714362858715,8.723716410031377,2785.8135686079363,25.0
ns_elephant_47,shape_biased,32,ns_elephant_47,10.0,2.248671235408366,0.17639858063709601,0.33084540485846065,9.475137241061752,4970.718050424915,25.0
ns_elephant_47,shape_biased,64,ns_elephant_47,10.0,2.0719730636958236,0.34393396463639575,0.4396349231184488,7.940474734379699,5069.253887602215,25.0
ns_elephant_47,texture_biased,8,ns_elephant_47,10.0,2.302584580183969,0.10014450884512636,0.2002629751636063,9.999994871900546,5017.22798390213,25.0
ns_elephant_47,texture_biased,16,ns_elephant_47,10.0,2.3025850668969774,0.10003490275595234,0.20006335454257687,9.99999973902932,1256.9603568908078,25.0
ns_elephant_47,texture_biased,32,ns_elephant_47,10.0,2.268805864087116,0.1826642443043581,0.28176227331798587,9.66784919242137,1508.6327682948033,25.0
ns_elephant_47,texture_biased,64,ns_elephant_47,10.0,2.2305428352136394,0.18475569838340755,0.3152481092088849,9.304915744717713,3093.969235634448,25.0
ns_elephant_780,shape_biased,8,ns_elephant_780,10.0,2.302578751488288,0.1003642656512145,0.20067350620583232,9.999936585143496,1633.5734737091839,25.0
ns_elephant_780,shape_biased,16,ns_elephant_780,10.0,2.2970923078810275,0.11399294825678151,0.2258714837839031,9.945222726488323,2786.6088613235506,25.0
ns_elephant_780,shape_biased,32,ns_elephant_780,10.0,2.2946600554747523,0.13005680615864618,0.23892319892337047,9.921062827977055,2370.787342217262,25.0
ns_elephant_780,shape_biased,64,ns_elephant_780,10.0,2.1984696845164606,0.19565504592024535,0.3733031903462509,9.011212943831998,5828.914311013195,25.0
ns_elephant_780,texture_biased,8,ns_elephant_780,10.0,2.3025850679242654,0.10003442183652664,0.20006160003170814,9.9999997493022,1256.7854660679006,25.0
ns_elephant_780,texture_biased,16,ns_elephant_780,10.0,2.302585061538011,0.10003849552894162,0.2000687819049051,9.999999685439656,1456.6962603517031,25.0
ns_elephant_780,texture_biased,32,ns_elephant_780,10.0,2.247570142901031,0.2067781284169922,0.32243502092629484,9.464709980182567,1775.5926129082764,25.0
ns_elephant_780,texture_biased,64,ns_elephant_780,10.0,2.1741408850872723,0.21413963383183143,0.3856782953127126,8.794626281106012,5373.643838387608,25.0
ns_lion_350,shape_biased,8,ns_lion_350,10.0,2.273438759275102,0.1554406524575974,0.2809910438883398,9.7127432388295,2095.8952841251325,25.0
ns_lion_350,shape_biased,16,ns_lion_350,10.0,2.1972651940126005,0.20791067986450382,0.36843967808301725,9.000365557511245,4625.793193563687,25.0
ns_lion_350,shape_biased,32,ns_lion_350,10.0,2.2920649489857987,0.1341307181246779,0.25106328917544485,9.895349991659467,3354.319672089043,25.0
ns_lion_350,shape_biased,64,ns_lion_350,10.0,2.2569579960954296,0.16343941807389667,0.32198870010752145,9.553981667111248,4020.00296296279,25.0
ns_lion_350,texture_biased,8,ns_lion_350,10.0,2.302585068163793,0.10003426104656228,0.20006112679994753,9.999999751697475,1256.779000142135,25.0
ns_lion_350,texture_biased,16,ns_lion_350,10.0,2.2985053990250357,0.1261427190012357,0.23079543785891948,9.959286166769584,1667.7543735508762,25.0
ns_lion_350,texture_biased,32,ns_lion_350,10.0,2.301637381195459,0.11035799443742093,0.21530085911236352,9.99052737138408,2126.8410415239427,25.0
ns_lion_350,texture_biased,64,ns_lion_350,10.0,2.2518947734477455,0.16084885508215166,0.30070768838574674,9.505729988337674,4083.1388604459557,25.0
ns_lion_560,shape_biased,8,ns_lion_560,10.0,2.2687119008675785,0.16896942909453372,0.30515354115459187,9.666940812863048,2927.4688883359736,25.0
ns_lion_560,shape_biased,16,ns_lion_560,10.0,2.2774438399759864,0.1464296189561612,0.2779587990530453,9.751721562891516,2974.191854114408,25.0
ns_lion_560,shape_biased,32,ns_lion_560,10.0,2.2727586355029747,0.16640429487727978,0.2795850312123188,9.706139617154799,4148.0501508392335,25.0
ns_lion_560,shape_biased,64,ns_lion_560,10.0,2.2925559882590894,0.1201627488949168,0.23572412008798588,9.900210190304877,4102.207523270143,25.0
ns_lion_560,texture_biased,8,ns_lion_560,10.0,2.302585067668627,0.10003476210481484,0.20006193694344632,9.999999746745814,1256.8588567925256,25.0
ns_lion_560,texture_biased,16,ns_lion_560,10.0,2.3025850681721463,0.10003395018746274,0.20006102821430405,9.999999751781008,1256.73138241695,25.0
ns_lion_560,texture_biased,32,ns_lion_560,10.0,2.2724202070761415,0.12066502371627455,0.2410167789314421,9.702855339371368,2515.2436180906893,25.0
ns_lion_560,texture_biased,64,ns_lion_560,10.0,2.167247708839599,0.21519081020090156,0.429072046756283,8.734211835050482,1925.4770138684157,25.0
ns_lion_650,shape_biased,8,ns_lion_650,10.0,2.2837474890950094,0.13073128600274148,0.24805747679000142,9.813387148843539,2836.185404335659,25.0
ns_lion_650,shape_biased,16,ns_lion_650,10.0,2.2559926412689273,0.1878413818632995,0.31580755721500375,9.544763135089681,2743.741114632855,25.0
ns_lion_650,shape_biased,32,ns_lion_650,10.0,2.234754192159082,0.16725003761765905,0.3264808868145478,9.344184696013434,3743.257702771268,25.0
ns_lion_650,shape_biased,64,ns_lion_650,10.0,2.2816994445449232,0.14593230651858313,0.28117034978176336,9.793309461792202,2641.7129533874827,25.0
ns_lion_650,texture_biased,8,ns_lion_650,10.0,2.3025850679944755,0.10003428646633189,0.20006148706084392,9.999999750004301,1256.7957208452672,25.0
ns_lion_650,texture_biased,16,ns_lion_650,10.0,2.2899825919118064,0.1507863375418818,0.2455106387329162,9.874765778883372,1449.6178814648747,25.0
