case_id,model_type,occluder_size,cluster_rank,k,normalized_debiased_mass,n_shapes_in_cluster,mean_resp,representative_png
ns_cow_205,texture_biased,8,3,2,0.10002134144993381,25,0.012576418684945365,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_8/generated/completions/completion_0001_05106.png
ns_cow_205,texture_biased,8,4,3,0.10001381670122915,25,0.012575390934742114,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_8/generated/completions/completion_0001_05106.png
ns_cow_205,texture_biased,8,5,4,0.10000159898174443,25,0.012573895384841388,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_8/generated/completions/completion_0001_05106.png
ns_cow_205,texture_biased,16,1,26,0.18546393611773115,25,0.992464623962889,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_16/generated/completions/completion_0001_03150.png
ns_cow_205,texture_biased,16,2,13,0.11586447407576561,25,0.3194435111190371,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_16/generated/completions/completion_0001_02565.png
ns_cow_205,texture_biased,16,3,25,0.11551987573659409,25,0.3184745757649118,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_16/generated/completions/completion_0001_02565.png
ns_cow_205,texture_biased,16,4,35,0.11515559427893962,25,0.3174506843250532,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_16/generated/completions/completion_0001_02565.png
ns_cow_205,texture_biased,16,5,5,0.08774320152914365,25,0.8751755338641678,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_16/generated/completions/completion_0001_06265.png
ns_cow_205,texture_biased,32,1,0,0.10005055520497905,25,0.01997215151995192,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_32/generated/completions/completion_0001_02353.png
ns_cow_205,texture_biased,32,2,1,0.10003993603371045,25,0.019970132937731973,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_32/generated/completions/completion_0001_02353.png
ns_cow_205,texture_biased,32,3,2,0.10002910282224976,25,0.019968073689509206,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_32/generated/completions/completion_0001_02353.png
ns_cow_205,texture_biased,32,4,3,0.10001804674567892,25,0.01996597204224583,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_32/generated/completions/completion_0001_02353.png
ns_cow_205,texture_biased,32,5,4,0.1000067584213905,25,0.019963826210199095,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_32/generated/completions/completion_0001_02353.png
ns_cow_205,texture_biased,64,1,30,0.22426169722296602,25,0.9994586734306727,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_64/generated/completions/completion_0001_06040.png
ns_cow_205,texture_biased,64,2,2,0.1004396989243787,25,0.5397052581326829,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_64/generated/completions/completion_0001_08346.png
ns_cow_205,texture_biased,64,3,50,0.09815402066510301,25,0.999306739637114,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_64/generated/completions/completion_0001_03640.png
ns_cow_205,texture_biased,64,4,56,0.09058915258324288,25,0.3388684505133759,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_64/generated/completions/completion_0001_01296.png
ns_cow_205,texture_biased,64,5,31,0.09009429623367991,25,0.35555228565825203,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_64/generated/completions/completion_0001_01296.png
ns_cow_350,shape_biased,8,1,5,0.12199825978821932,25,0.1646022129377219,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_01558.png
ns_cow_350,shape_biased,8,2,18,0.12173750884000147,25,0.16435765581495612,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_01558.png
ns_cow_350,shape_biased,8,3,22,0.1216461975558661,25,0.1642719819927941,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_01558.png
ns_cow_350,shape_biased,8,4,57,0.12040241325761765,25,0.1631022985416709,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_01558.png
ns_cow_350,shape_biased,8,5,60,0.12021434817189756,25,0.1629250163233502,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_01558.png
ns_cow_350,shape_biased,16,1,56,0.16999168267462242,25,0.9999495755797213,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_00192.png
ns_cow_350,shape_biased,16,2,71,0.14459328355245663,25,0.996077610958024,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_05616.png
ns_cow_350,shape_biased,16,3,7,0.13095971834715117,25,0.99999792614971,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_01043.png
ns_cow_350,shape_biased,16,4,11,0.10749902377185519,25,0.9979309518158344,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_04259.png
ns_cow_350,shape_biased,16,5,32,0.09422019262468799,25,0.9972453710630035,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_03072.png
ns_cow_350,shape_biased,32,1,56,0.2930192531499097,25,1.0,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_09107.png
ns_cow_350,shape_biased,32,2,67,0.17871747435026145,25,0.9999999898793984,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_00675.png
ns_cow_350,shape_biased,32,3,68,0.11561266020125954,25,0.9999999996956507,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_06931.png
ns_cow_350,shape_biased,32,4,51,0.07730500511153254,25,0.9999999997005392,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_04989.png
ns_cow_350,shape_biased,32,5,72,0.06352079935650769,25,0.9999999999985403,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_08103.png
ns_cow_350,shape_biased,64,1,33,0.12661114240708282,25,0.9999985442219832,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_64/generated/completions/completion_0001_09193.png
ns_cow_350,shape_biased,64,2,65,0.11811087513465732,25,0.9999997802029346,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_64/generated/completions/completion_0001_05964.png
ns_cow_350,shape_biased,64,3,15,0.11311227610186055,25,1.0,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_64/generated/completions/completion_0001_02432.png
ns_cow_350,shape_biased,64,4,59,0.10501827363982469,25,0.9999997389359379,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_64/generated/completions/completion_0001_09566.png
ns_cow_350,shape_biased,64,5,48,0.09993305912205552,25,0.9999999580424043,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_64/generated/completions/completion_0001_09684.png
ns_cow_350,texture_biased,8,1,0,0.1000348105943855,25,0.012586725464960022,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_tl_20250829/size_8/generated/completions/completion_0001_00920.png
ns_cow_350,texture_biased,8,2,1,0.10002725533709343,25,0.01258560242784158,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_tl_20250829/size_8/generated/completions/completion_0001_00920.png
ns_cow_350,texture_biased,8,3,2,0.100019522924353,25,0.012584459853423886,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_tl_20250829/size_8/generated/completions/completion_0001_00920.png
ns_cow_350,texture_biased,8,4,3,0.10001267359393212,25,0.012583368432543913,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_tl_20250829/size_8/generated/completions/completion_0001_00920.png
ns_cow_350,texture_biased,8,5,4,0.10000443502896238,25,0.012582175328874654,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_tl_20250829/size_8/generated/completions/completion_0001_00920.png
ns_cow_350,texture_biased,16,1,15,0.10750924989148494,25,0.15992392320842172,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_tl_20250829/size_16/generated/completions/completion_0001_02636.png
ns_cow_350,texture_biased,16,2,30,0.10733256162367734,25,0.16004746385023452,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_tl_20250829/size_16/generated/completions/completion_0001_02636.png
